code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
03728,3728.HK,正利控股,0.06,-7.69,893160,60780000,60780000,7406,120.6,1.47,10,0,0,2026-09-08 12:48:59
01259,1259.HK,未來發展控股,0.035,12.9,754080,77117635,77117635,43610,17.29,0.98,10,0,0,2026-09-08 12:48:59
08007,8007.HK,環球戰略集團,0.47,5.62,2853450,106369192,106369192,214894,13.28,2.68,10,0,0,2026-09-08 12:48:59
00310,310.HK,嘉進投資國際,0.187,2.75,1314860,116151688,116151688,9776,134.5,1.13,10,0,0,2026-09-08 12:48:59
08490,8490.HK,駿碼半導體,0.204,37.84,8808110,143922000,143922000,208037,42.34,6.12,10,0,0,2026-09-08 12:49:00
01452,1452.HK,迪諾斯環保,0.189,26.0,908900,145661869,145661869,68990,13.17,0.62,10,0,0,2026-09-08 12:48:59
00356,356.HK,鼎立資本,0.87,1.75,784830,175216839,175216839,15231,51.53,0.45,10,0,0,2026-09-08 12:48:59
01793,1793.HK,偉工控股,0.275,0.0,1462720,220000000,220000000,110008,13.3,0.66,10,0,0,2026-09-08 12:48:59
06663,6663.HK,國際永勝集團,0.33,3.12,577250,264000000,264000000,19140,30.16,0.22,10,0,0,2026-09-08 12:48:59
00243,243.HK,品質國際,0.8,45.45,17199220,277192426,277192426,808452,21.27,6.2,10,0,0,2026-09-08 12:48:58
00524,524.HK,長城天下,1.41,31.78,5927760,333151275,333151275,383919,15.44,1.78,10,0,0,2026-09-08 12:48:59
00021,21.HK,大中華控股,0.091,10.98,1696460,361746240,361746240,104920,16.17,0.47,10,0,0,2026-09-08 12:48:58
01909,1909.HK,火岩控股,2.15,7.5,1026700,522065238,522065238,48705,21.08,0.2,10,0,0,2026-09-08 12:48:59
00225,225.HK,博富臨置業,5.21,-4.4,637860,574034596,574034596,10714,59.54,0.11,10,0,0,2026-09-08 12:48:58
02250,2250.HK,小黃鴨德盈,0.6,-1.64,627770,605013000,605013000,37538,16.72,0.1,10,0,0,2026-09-08 12:48:59
09919,9919.HK,艾德韋宣集團,0.835,-3.47,2593660,621422030,621422030,33791,76.76,0.42,10,0,0,2026-09-08 12:49:00
01693,1693.HK,璋利國際,7.95,-0.5,4093140,638212008,638212008,138472,29.56,0.64,10,0,0,2026-09-08 12:48:59
02298,2298.HK,都市麗人,0.344,-10.42,7014310,773813281,773813281,611146,11.48,0.91,10,0,0,2026-09-08 12:48:59
01410,1410.HK,安領國際,0.87,7.41,10933400,878453790,878453790,1051070,10.4,1.24,10,0,0,2026-09-08 12:48:59
