code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time,corp_action_suspect
08536,8536.HK,TL NATURAL GAS,0.243,5.65,1494630,51638715,51638715,20500,72.91,2.89,10,0,0,2026-09-18 21:17:13,0
01468,1468.HK,嘉高達資本,0.192,1.05,629448,80031543,80031543,40182,15.67,0.79,10,0,0,2026-09-18 21:17:12,0
00899,899.HK,中加國信,0.24,14.83,508330,106838162,106838162,18678,27.22,0.48,10,0,0,2026-09-18 21:17:12,0
00164,164.HK,中國寶力科技,0.425,-1.16,1061375,148436657,148436657,48916,21.7,0.72,10,0,0,2026-09-18 21:17:12,0
00776,776.HK,帝國科技集團,0.233,0.87,6368865,156538149,156538149,168933,37.7,4.07,10,0,0,2026-09-18 21:17:12,0
00442,442.HK,域能控股,0.7,16.67,546105,181405000,181405000,31670,17.24,0.3,10,0,0,2026-09-18 21:17:12,0
07522,7522.HK,FI二華夏納一百,3.564,-2.84,12203135,210953160,,1123706,10.86,5.78,10,0,0,2026-09-18 21:17:13,0
08098,8098.HK,昌利控股,0.106,7.07,869630,233200000,233200000,54881,15.85,0.37,10,0,0,2026-09-18 21:17:13,0
00379,379.HK,恆嘉融資租賃,0.168,35.48,6436454,283466864,283466864,319500,20.15,2.27,10,0,0,2026-09-18 21:17:12,0
00021,21.HK,大中華控股,0.092,15.0,1838525,365721473,365721473,105444,17.44,0.5,10,0,0,2026-09-18 21:17:12,0
00716,716.HK,勝獅貨櫃,0.38,-6.17,6167290,905238249,905238249,378302,16.3,0.68,10,0,0,2026-09-18 21:17:12,0
02503,2503.HK,中深建業,0.265,9.96,15034488,909705540,909705540,954901,15.74,1.65,10,0,0,2026-09-18 21:17:13,0
03309,3309.HK,希瑪醫療,0.81,-4.71,2753970,979120605,979120605,256004,10.76,0.28,10,0,0,2026-09-18 21:17:13,0
00511,511.HK,無線集團,2.13,-4.91,11198263,994628711,994628711,1062953,10.54,1.13,10,0,0,2026-09-18 21:17:12,0
