scan_date,code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
2026-08-10,02231,2231.HK,景業名邦集團,0.011,10.0,815838,18107903,18107903,39768,20.52,4.51,10,0,0,2026-09-08 07:26:11
2026-08-10,07777,7777.HK,南方東英 Berkshire 每日槓桿最多 (2x) 產品,62.08,0.94,2461484,27284781,,193848,12.7,9.02,10,0,0,2026-09-08 07:26:20
2026-08-10,02048,2048.HK,易居企業控股,0.029,52.63,1865778,50722726,50722726,102753,18.16,3.68,10,0,0,2026-09-08 07:26:10
2026-08-10,08072,8072.HK,蘭谷股份,0.375,11.94,1061800,63130925,63130925,5990,177.26,1.68,10,0,0,2026-09-08 07:26:22
2026-08-10,08491,8491.HK,COOL LINK,0.325,20.37,710350,129547005,129547005,21842,32.52,0.55,10,0,0,2026-09-08 07:26:25
2026-08-10,01957,1957.HK,大人國際,0.31,14.81,835700,194680000,194680000,44285,18.87,0.43,10,0,0,2026-09-08 07:26:09
2026-08-10,01182,1182.HK,勝龍國際,0.645,0.0,1032350,219825396,219825396,27968,36.91,0.47,10,0,0,2026-09-08 07:26:04
2026-08-10,06893,6893.HK,衍生集團,0.213,3.9,731038,232552548,232552548,43308,16.88,0.31,10,0,0,2026-09-08 07:26:19
2026-08-10,02176,2176.HK,賽迪顧問,0.49,-40.96,3286500,343000000,102410000,37900,86.72,0.96,10,0,0,2026-09-08 07:26:11
2026-08-10,06885,6885.HK,金馬能源,0.72,20.0,34687085,385503120,385503120,77641,446.76,9.0,10,0,0,2026-09-08 07:26:19
2026-08-10,02415,2415.HK,梅斯健康,0.75,0.0,4878660,455378212,455378212,24182,201.75,1.07,10,0,0,2026-09-08 07:26:12
2026-08-10,06123,6123.HK,圓通國際快遞,1.3,8.33,911310,546247000,546247000,59357,15.35,0.17,10,0,0,2026-09-08 07:26:18
2026-08-10,01669,1669.HK,環球信貸集團,1.43,5.15,2937820,572000000,572000000,209286,14.04,0.51,10,0,0,2026-09-08 07:26:07
2026-08-10,00206,206.HK,華商能源,0.196,-19.67,1550825,635713047,635713047,137827,11.25,0.24,10,0,0,2026-09-08 07:25:56
2026-08-10,02167,2167.HK,天潤雲,4.5,50.75,7594592,780211800,780211800,203561,37.31,0.97,10,0,0,2026-09-08 07:26:11
2026-08-11,08620,8620.HK,亞洲速運,0.155,8.39,1047840,97449275,97449275,27826,37.66,1.08,10,0,0,2026-09-08 07:26:28
2026-08-11,01402,1402.HK,超智能控股,0.335,11.67,726750,351917500,351917500,55165,13.17,0.21,10,0,0,2026-09-08 07:26:27
2026-08-11,01631,1631.HK,REF HOLDINGS,1.34,-2.19,767875,411648000,411648000,16530,46.45,0.19,10,0,0,2026-09-08 07:26:27
2026-08-11,06182,6182.HK,乙德投資控股,0.63,-3.08,735840,504000000,504000000,71876,10.24,0.15,10,0,0,2026-09-08 07:26:28
2026-08-11,02671,2671.HK,美聯股份,4.68,14.29,3570987,564174023,564174023,6903,517.29,0.63,10,0,0,2026-09-08 07:26:28
2026-08-11,02536,2536.HK,百樂皇宮,0.84,0.0,747600,677538960,677538960,29164,25.63,0.11,10,0,0,2026-09-08 07:26:28
2026-08-12,08191,8191.HK,鴻偉亞洲,0.134,25.23,6154148,47441418,47441418,47362,129.94,12.97,10,0,0,2026-09-08 07:26:29
2026-08-12,08283,8283.HK,中食民安,0.158,-15.51,811475,54604800,54604800,55414,14.64,1.49,10,0,0,2026-09-08 07:26:29
2026-08-12,08620,8620.HK,亞洲速運,0.156,0.65,1609585,98077980,98077980,130428,12.34,1.64,10,0,0,2026-09-08 07:26:29
2026-08-12,02113,2113.HK,世紀集團國際,0.165,28.91,1125975,132783750,132783750,56222,20.03,0.85,10,0,0,2026-09-08 07:26:29
2026-08-12,00295,295.HK,江山控股,0.017,13.33,571250,254395523,254395523,29936,19.08,0.22,10,0,0,2026-09-08 07:26:28
2026-08-12,01265,1265.HK,天津津燃公用,0.15,4.9,504030,275896170,75009000,26819,18.79,0.18,10,0,0,2026-09-08 07:26:29
2026-08-12,06182,6182.HK,乙德投資控股,0.47,-25.4,9226440,376000000,376000000,145460,63.43,2.45,10,0,0,2026-09-08 07:26:29
2026-08-12,01402,1402.HK,超智能控股,0.405,20.9,2478600,425452500,425452500,127840,19.39,0.58,10,0,0,2026-09-08 07:26:29
2026-08-12,03828,3828.HK,明輝國際,0.765,-1.92,1068075,561710963,561710963,101075,10.57,0.19,10,0,0,2026-09-08 07:26:29
2026-08-12,00210,210.HK,達芙妮國際,0.32,-4.48,504910,633151497,633151497,29155,17.32,0.08,10,0,0,2026-09-08 07:26:28
2026-08-12,02260,2260.HK,環龍控股,1.35,11.57,3005700,652646700,652646700,13868,216.74,0.46,10,0,0,2026-09-08 07:26:29
2026-08-13,01351,1351.HK,輝煌明天,0.245,6.52,1466512,147000000,147000000,9564,153.34,1.0,10,0,0,2026-09-08 07:26:30
2026-08-13,01002,1002.HK,威鋮國際,0.057,16.33,695440,158393583,158393583,27388,25.39,0.44,10,0,0,2026-09-08 07:26:30
2026-08-13,02695,2695.HK,印象大紅袍,1.35,-14.01,1906969,194629500,48735000,69997,27.24,0.98,10,0,0,2026-09-08 07:26:30
2026-08-13,08509,8509.HK,威揚酒業控股,0.6,0.0,535200,240000000,240000000,3080,173.77,0.22,10,0,0,2026-09-08 07:26:30
2026-08-13,00936,936.HK,佳兆業資本,0.345,32.69,926000,365700000,365700000,44576,20.77,0.25,10,0,0,2026-09-08 07:26:30
2026-08-13,06890,6890.HK,康利國際控股,0.645,-25.86,741110,391032540,391032540,40160,18.45,0.19,10,0,0,2026-09-08 07:26:30
2026-08-13,00366,366.HK,陸氏集團(越南),0.805,-2.42,808210,403805241,403805241,48107,16.8,0.2,10,0,0,2026-09-08 07:26:30
