ts,code5,symbol,name,alert_type,count_today,level_from,level_to,chg_pct,last_done,turnover_intraday,mcap_now,ratio_intraday,off_hours
2026-09-08 01:35:09,00646,646.HK,中國環保科技,SURGE,1,0,40,58.29,0.315,2072544,107949850,4.03,1
2026-09-08 01:35:09,00360,360.HK,新焦點,SURGE,1,0,40,50.0,0.042,9812460,723111831,186.17,1
2026-09-08 01:35:09,00360,360.HK,新焦點,VOLUME,1,0,180,50.0,0.042,9812460,723111831,186.17,1
2026-09-08 01:35:09,08471,8471.HK,新達控股,SURGE,1,0,40,44.44,0.39,1561875,28688400,65.45,1
2026-09-08 01:35:09,08471,8471.HK,新達控股,VOLUME,1,0,60,44.44,0.39,1561875,28688400,65.45,1
2026-09-08 01:35:09,06988,6988.HK,樂享集團,SURGE,1,0,20,39.53,0.06,1100497,142315632,25.03,1
2026-09-08 01:35:09,06988,6988.HK,樂享集團,VOLUME,1,0,20,39.53,0.06,1100497,142315632,25.03,1
2026-09-08 01:35:09,00979,979.HK,綠色能源科技集團,SURGE,1,0,20,39.06,0.445,2320787,603557138,17.0,1
2026-09-08 01:35:09,00979,979.HK,綠色能源科技集團,VOLUME,1,0,10,39.06,0.445,2320787,603557138,17.0,1
2026-09-08 01:35:09,01753,1753.HK,兌吧,SURGE,1,0,20,30.65,0.81,27731357,872226792,3.23,1
2026-09-08 01:35:09,09978,9978.HK,方圓生活服務,SURGE,1,0,20,26.39,1.82,5000340,728000000,4.82,1
2026-09-08 01:35:09,01536,1536.HK,煜榮集團,SURGE,1,0,20,20.99,0.49,14307630,223440000,6.41,1
2026-09-08 01:35:09,08646,8646.HK,中國宏光,SURGE,1,0,20,20.61,0.275,3228705,215322250,3.89,1
2026-09-08 01:35:10,00829,829.HK,神冠控股,SURGE,1,0,20,20.13,0.191,583954,617021680,8.73,1
2026-09-08 01:35:10,01842,1842.HK,植華集團,VOLUME,1,0,70,16.22,0.043,680924,61920000,74.85,1
2026-09-08 01:35:11,02370,2370.HK,力高健康生活,VOLUME,1,0,10,4.7,1.225,968745,245000000,13.13,1
2026-09-08 01:35:12,00538,538.HK,味千(中國),VOLUME,1,0,40,1.27,0.795,15731792,867773362,40.14,1
2026-09-08 01:35:12,02545,2545.HK,中贛通信,VOLUME,1,0,40,1.2,0.42,500470,268800000,47.95,1
2026-09-08 01:35:13,00261,261.HK,GBA集團,VOLUME,1,0,10,0.0,0.265,3545790,87810845,16.14,1
2026-09-08 01:35:13,01160,1160.HK,金石資本集團,VOLUME,1,0,80,0.0,0.4,640000,94908500,80.0,1
2026-09-08 01:35:16,08385,8385.HK,萬里印刷,VOLUME,1,0,20,-3.06,0.095,1112877,9916860,20.1,1
