ts,code5,symbol,name,alert_type,count_today,level_from,level_to,chg_pct,last_done,turnover_intraday,mcap_now,ratio_intraday,off_hours,corp_action_suspect,resumption_suspect,price_gap_suspect
2026-09-08 23:50:11,02738,2738.HK,華津國際控股,SURGE,1,0,820,830.23,0.4,9197230,240000000,1506.11,1,0,0,1
2026-09-08 23:50:11,02738,2738.HK,華津國際控股,VOLUME,1,0,1500,830.23,0.4,9197230,240000000,1506.11,1,0,0,1
2026-09-08 23:50:11,03889,3889.HK,大成玉米集團,SURGE,1,0,60,69.05,0.071,1502958,137127615,238.78,1,0,0,0
2026-09-08 23:50:11,03889,3889.HK,大成玉米集團,VOLUME,1,0,230,69.05,0.071,1502958,137127615,238.78,1,0,0,0
2026-09-08 23:50:11,06988,6988.HK,樂享集團,SURGE,1,0,20,36.67,0.082,8472882,194498030,61.4,1,0,0,0
2026-09-08 23:50:11,06988,6988.HK,樂享集團,VOLUME,1,0,60,36.67,0.082,8472882,194498030,61.4,1,0,0,0
2026-09-08 23:50:11,08219,8219.HK,恆偉集團控股,SURGE,1,0,20,31.71,0.54,1986170,133650000,3.56,1,0,0,0
2026-09-08 23:50:11,01842,1842.HK,植華集團,SURGE,1,0,20,30.23,0.056,1840160,80640000,23.94,1,0,0,0
2026-09-08 23:50:11,01842,1842.HK,植華集團,VOLUME,1,0,20,30.23,0.056,1840160,80640000,23.94,1,0,0,0
2026-09-08 23:50:11,01443,1443.HK,富臨集團控股,SURGE,1,0,20,30.0,0.065,2005642,84500000,156.62,1,0,0,0
2026-09-08 23:50:11,01443,1443.HK,富臨集團控股,VOLUME,1,0,150,30.0,0.065,2005642,84500000,156.62,1,0,0,0
2026-09-08 23:50:11,02381,2381.HK,蜆殼電業,SURGE,1,0,20,21.4,0.295,3862270,590000000,3.78,1,0,0,0
2026-09-08 23:50:11,01869,1869.HK,貓屎咖啡控股,VOLUME,1,0,10,16.36,0.064,1897740,108307200,10.05,1,0,0,0
2026-09-08 23:50:11,00829,829.HK,神冠控股,VOLUME,1,0,10,15.71,0.221,2295780,713936080,18.92,1,0,0,0
2026-09-08 23:50:11,00532,532.HK,王氏港建,VOLUME,1,0,10,15.62,0.37,1094960,270062247,10.94,1,0,0,0
2026-09-08 23:50:11,00690,690.HK,聯康生物科技集團,VOLUME,1,0,50,13.56,0.067,4052440,400072286,53.5,1,0,0,0
2026-09-08 23:50:11,08238,8238.HK,玖方數智,VOLUME,1,0,60,5.5,0.115,4910941,40061952,60.8,1,0,0,0
2026-09-08 23:50:11,02312,2312.HK,LONG投資集團,VOLUME,1,0,20,1.27,0.4,692435,182751363,22.59,1,0,0,0
2026-09-08 23:50:11,08189,8189.HK,泰達生物,VOLUME,1,0,40,1.21,0.25,3626775,533475000,49.93,1,0,0,0
2026-09-08 23:50:11,00096,96.HK,友成控股,VOLUME,1,0,310,0.0,0.52,520000,331005792,318.82,1,0,0,0
2026-09-08 23:50:11,03477,3477.HK,平安東西精選,VOLUME,1,0,10,-0.28,17.72,2978819,655640000,10.92,1,0,0,0
2026-09-08 23:50:11,01001,1001.HK,滬港聯合,VOLUME,1,0,10,-6.49,0.36,573751,229142993,15.74,1,0,0,0
2026-09-08 23:50:11,06080,6080.HK,榮智控股,VOLUME,1,0,20,-8.46,0.119,548286,133321650,24.05,1,0,0,0
2026-09-08 23:50:11,00387,387.HK,力豐(集團),VOLUME,1,0,330,-13.82,0.655,1854160,150699821,332.53,1,0,0,0
2026-09-08 23:50:11,08481,8481.HK,盛龍錦秀國際,VOLUME,1,0,30,-32.5,0.27,882800,109395900,35.67,1,0,0,0
