code5,scan_date,ccass_asof_date,ccass_top10_pct,ccass_top5_pct,ccass_top10_delta,ccass_window_days,ccass_suspect_denominator,ccass_top10_pct_known,concentration_rising,hd_top10_pct_of_ccass,hd_asof_date,hd_top10_delta,dump_asof_date,dump_c10_shares,dump_issued_shares,dump_top10_pct_of_issued,dump_top10_pct_of_issued_raw,dump_top10_delta_shares,dump_window_days,dump_concentration_rising,dump_corp_action_in_window,dump_issued_missing
08293,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
08226,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
01235,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
01647,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
08267,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
02212,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
00510,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
08350,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
01987,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
01305,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
01150,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
02263,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
01073,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
01895,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
06882,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
02699,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
01822,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
06866,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
01856,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
06118,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
00227,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
03329,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
01278,2025-06-26,,,,,,,0,,,,,,,,,,,,,0,0
08475,2025-06-27,,,,,,,0,,,,,,,,,,,,,0,0
08320,2025-06-27,,,,,,,0,,,,,,,,,,,,,0,0
02682,2025-06-27,,,,,,,0,,,,,,,,,,,,,0,0
00185,2025-06-27,,,,,,,0,,,,,,,,,,,,,0,0
08267,2025-06-27,,,,,,,0,,,,,,,,,,,,,0,0
01792,2025-06-27,,,,,,,0,,,,,,,,,,,,,0,0
02031,2025-06-27,,,,,,,0,,,,,,,,,,,,,0,0
01961,2025-06-27,,,,,,,0,,,,,,,,,,,,,0,0
01636,2025-06-27,,,,,,,0,,,,,,,,,,,,,0,0
03389,2025-06-27,,,,,,,0,,,,,,,,,,,,,0,0
02530,2025-06-27,,,,,,,0,,,,,,,,,,,,,0,0
00184,2025-06-27,,,,,,,0,,,,,,,,,,,,,0,0
00237,2025-06-27,,,,,,,0,,,,,,,,,,,,,0,0
01846,2025-06-27,,,,,,,0,,,,,,,,,,,,,0,0
01082,2025-06-27,,,,,,,0,,,,,,,,,,,,,0,0
08226,2025-06-30,,,,,,,0,,,,,2025-06-26,360029396.0,417503991.0,86.2338,86.2338,-159200.0,58.0,0.5,0,0
01695,2025-06-30,,,,,,,0,,,,,2025-06-26,165653875.0,1080000000.0,15.3383,15.3383,250000.0,58.0,0.5,0,0
01132,2025-06-30,,,,,,,0,,,,,2025-06-26,2308573599.0,2799669050.0,82.4588,82.4588,3404500.0,58.0,0.5,0,0
01473,2025-06-30,,,,,,,0,,,,,2025-06-26,906110100.0,1182441289.0,76.6305,76.6305,-288000.0,58.0,0.5,0,0
08509,2025-06-30,,,,,,,0,,,,,2025-06-26,380100000.0,400000000.0,95.025,95.025,860000.0,58.0,0.5,0,0
00630,2025-06-30,,,,,,,0,,,,,2025-06-26,725341778.0,967551792.0,74.9667,74.9667,-11759144.0,58.0,0.0,0,0
01643,2025-06-30,,,,,,,0,,,,,2025-06-26,240831161.0,720000000.0,33.4488,33.4488,-1852740.0,58.0,0.5,0,0
00328,2025-06-30,,,,,,,0,,,,,2025-06-26,69762315.0,286392150.0,24.359,24.359,-3071840.0,58.0,0.0,0,0
00927,2025-06-30,,,,,,,0,,,,,2025-06-26,188047495.0,511005000.0,36.7995,36.7995,-17726000.0,58.0,0.0,0,0
01489,2025-06-30,,,,,,,0,,,,,2025-06-26,957260000.0,1000000000.0,95.726,95.726,4090000.0,58.0,0.5,0,0
06913,2025-06-30,,,,,,,0,,,,,2025-06-26,464224684.0,1334000000.0,34.7995,34.7995,1686000.0,58.0,0.5,0,0
00413,2025-06-30,,,,,,,0,,,,,2025-06-26,2965119031.0,13221302172.0,22.4268,22.4268,-720000.0,58.0,0.5,0,0
00789,2025-06-30,,,,,,,0,,,,,2025-06-26,1119462995.0,264793625.0,,422.7681,1414361.0,58.0,,1,0
