group,window_days,event_type,observations,events,rate
baseline_all,60,GO,124,0,0.0
baseline_all,60,CONSOLIDATION,124,0,0.0
baseline_all,60,PLACING,124,2,0.016129
baseline_all,60,RIGHTS,124,1,0.008065
baseline_all,120,GO,124,1,0.008065
baseline_all,120,CONSOLIDATION,124,0,0.0
baseline_all,120,PLACING,124,2,0.016129
baseline_all,120,RIGHTS,124,1,0.008065
baseline_all,180,GO,124,1,0.008065
baseline_all,180,CONSOLIDATION,124,0,0.0
baseline_all,180,PLACING,124,2,0.016129
baseline_all,180,RIGHTS,124,1,0.008065
baseline_sample,60,GO,548,4,0.007299
baseline_sample,60,CONSOLIDATION,548,4,0.007299
baseline_sample,60,PLACING,548,11,0.020073
baseline_sample,60,RIGHTS,548,2,0.00365
baseline_sample,120,GO,548,4,0.007299
baseline_sample,120,CONSOLIDATION,548,4,0.007299
baseline_sample,120,PLACING,548,11,0.020073
baseline_sample,120,RIGHTS,548,2,0.00365
baseline_sample,180,GO,548,4,0.007299
baseline_sample,180,CONSOLIDATION,548,4,0.007299
baseline_sample,180,PLACING,548,11,0.020073
baseline_sample,180,RIGHTS,548,2,0.00365
signal,60,GO,1226,19,0.015498
signal,60,CONSOLIDATION,1226,6,0.004894
signal,60,PLACING,1226,24,0.019576
signal,60,RIGHTS,1226,11,0.008972
signal,120,GO,1226,27,0.022023
signal,120,CONSOLIDATION,1226,17,0.013866
signal,120,PLACING,1226,63,0.051387
signal,120,RIGHTS,1226,23,0.01876
signal,180,GO,1226,40,0.032626
signal,180,CONSOLIDATION,1226,21,0.017129
signal,180,PLACING,1226,96,0.078303
signal,180,RIGHTS,1226,29,0.023654
