code5,name,last_go_type,last_go_date,days_since_go,in_kl_xlsx
08448,環球印館,GO,2026-02-09,50,1
01959,中聚投資,GO,2025-12-16,105,1
09929,澳達控股,GO,2025-12-03,118,1
08403,德豐宿來,GO,2025-11-26,125,1
08208,永通萬國集團,GO,2025-11-13,138,1
08622,愉悅集團,GO,2025-10-09,173,1
01940,CGII HLDGS,GO,2026-03-13,18,0
01716,毛記葵湧,GO,2026-03-12,19,0
02427,GUANZE MEDICAL,GO,2026-02-11,48,0
01546,德萊建業,GO,2026-01-28,62,0
01429,天任集團,GO,2026-01-23,67,0
01980,天鴿互動,GO,2026-01-21,69,0
08031,易通訊集團,GO,2026-01-19,71,0
03938,LFG投資控股,GO,2026-01-09,81,0
08146,怡園酒業,GO,2025-12-30,91,0
00228,中能控股,GO,2025-12-23,98,0
01348,滉達富控股,GO,2025-12-18,103,0
08413,亞洲富思,GO,2025-12-10,111,0
02442,怡俊集團控股,GO,2025-12-02,119,0
01732,象興科技,GO,2025-12-01,120,0
03389,亨得利,GO,2025-11-28,123,0
06182,乙德投資控股,GO,2025-11-04,147,0
00643,恆富控股,GO,2025-10-24,158,0
01757,環球華商俱樂部,GO,2025-10-23,159,0
00834,盛融控股,GO,2025-10-23,159,0
02680,南強控股,GO,2025-10-10,172,0
