code5,name,event_type,last_event_date,days_since,has_follow_up_raise,l_shape_stage
00167,IDT INT'L,GO,2026-06-29,72,0,GO_等表演
00368,德合集團,GO,2026-08-04,36,0,GO_等表演
00701,CNT GROUP,GO,2026-04-21,141,0,GO_等表演
00784,愛生命國際,GO,2026-04-14,148,0,GO_等表演
00989,中國長白山國際,GO,2026-07-15,56,0,GO_等表演
01037,雲智匯科技,GO,2026-07-27,44,0,GO_等表演
01417,浦江中國,GO,2026-06-15,86,0,GO_等表演
01451,萬成集團股份,GO,2026-05-05,127,0,GO_等表演
01633,上諭集團,GO,2026-07-24,47,0,GO_等表演
01657,樺欣控股,GO,2026-06-04,97,0,GO_等表演
01780,榮尊國際控股,GO,2026-05-07,125,0,GO_等表演
01796,中國數智科技,GO,2026-04-27,135,0,GO_等表演
01835,瑞威資管,GO,2026-06-30,71,1,GO_已配供
01912,康特隆,GO,2026-06-08,93,1,GO_已配供
01932,中漆集團,GO,2026-04-21,141,0,GO_等表演
01940,CGII HLDGS,GO,2026-03-13,180,0,GO_等表演
01953,RIMBACO,GO,2026-04-24,138,0,GO_等表演
02295,豐城控股,GO,2026-07-02,69,0,GO_等表演
02381,蜆壳電業,GO,2026-07-31,40,0,GO_等表演
02535,泓基集團,GO,2026-08-04,36,0,GO_等表演
06083,環宇物流（亞洲）,GO,2026-07-17,54,0,GO_等表演
08123,華億金控,GO,2026-06-23,78,1,GO_已配供
08162,港銀控股,TRANSFER_MB,2026-06-26,75,0,GO_等表演
08439,新百利融資,GO,2026-05-04,128,0,GO_等表演
08483,名仕快相,GO,2026-07-27,44,0,GO_等表演
09978,方圓生活服務,GO,2026-07-28,43,0,GO_等表演
