from_q,to_q,code5,name,change_type,evidence_date,note
2025Q3,2025Q4,00167,IDT INT'L,新入,,
2025Q3,2025Q4,00228,中能控股,新入,,
2025Q3,2025Q4,00643,恆富控股,新入,,
2025Q3,2025Q4,00834,盛融控股,新入,,
2025Q3,2025Q4,01348,滉達富控股,新入,,
2025Q3,2025Q4,01732,象興科技,新入,,
2025Q3,2025Q4,01757,環球華商俱樂部,新入,,
2025Q3,2025Q4,01959,中聚投資,新入,,
2025Q3,2025Q4,01980,天鴿互動,新入,,
2025Q3,2025Q4,02442,怡俊集團控股,新入,,
2025Q3,2025Q4,02623,香港黃金產業集團,新入,,
2025Q3,2025Q4,02680,南強控股,新入,,
2025Q3,2025Q4,03389,亨得利,新入,,
2025Q3,2025Q4,06182,乙德投資控股,新入,,
2025Q3,2025Q4,08146,怡園酒業,新入,,
2025Q3,2025Q4,08208,永通萬國集團,新入,,
2025Q3,2025Q4,08403,德豐宿來,新入,,
2025Q3,2025Q4,08413,亞洲富思,新入,,
2025Q3,2025Q4,08622,愉悅集團,新入,,
2025Q3,2025Q4,09929,澳達控股,新入,,
2025Q3,2025Q4,01079,松景科技,畢業_開始配供,2025-12-04,期內有 PLACING/RIGHTS 公佈
2025Q3,2025Q4,01749,杉杉品牌,跌出,,GO 老化出 180 日窗或未再上榜
2025Q3,2025Q4,02350,數科集團,畢業_開始配供,2025-12-31,期內有 PLACING/RIGHTS 公佈
2025Q3,2025Q4,08035,駿高控股,跌出,,GO 老化出 180 日窗或未再上榜
2025Q4,2026Q1,01429,天任集團,新入,,
2025Q4,2026Q1,01546,德萊建業,新入,,
2025Q4,2026Q1,01716,毛記葵湧,新入,,
2025Q4,2026Q1,01940,CGII HLDGS,新入,,
2025Q4,2026Q1,02427,GUANZE MEDICAL,新入,,
2025Q4,2026Q1,03938,LFG投資控股,新入,,
2025Q4,2026Q1,08031,易通訊集團,新入,,
2025Q4,2026Q1,08448,環球印館,新入,,
2025Q4,2026Q1,00167,IDT INT'L,畢業_開始配供,2026-02-13,期內有 PLACING/RIGHTS 公佈
2025Q4,2026Q1,00361,漢成發展控股,跌出,,GO 老化出 180 日窗或未再上榜
2025Q4,2026Q1,00932,順騰國際控股,跌出,,GO 老化出 180 日窗或未再上榜
2025Q4,2026Q1,01351,輝煌明天,跌出,,GO 老化出 180 日窗或未再上榜
2025Q4,2026Q1,01376,RAFFLESINTERIOR,跌出,,GO 老化出 180 日窗或未再上榜
2025Q4,2026Q1,01489,GC CONSTRUCTION,跌出,,GO 老化出 180 日窗或未再上榜
