code5,date,source_change_pct,high,prev_close,max_pct,n_max_est,t5_return_pct,t10_return_pct,t20_return_pct
08507,2026-04-22,29.17,0.335,0.283,18.3746,0.0,57.2438,85.5124,327.5618
06610,2026-04-22,30.08,1.75,1.23,42.2764,2.0,-8.4416,-13.6364,-22.0779
01850,2026-04-22,24.21,1.26,0.95,32.6316,1.0,29.7521,18.1818,44.6281
06610,2026-04-22,42.28,1.75,1.23,42.2764,2.0,-8.4416,-13.6364,-22.0779
08193,2026-04-22,47.37,0.51,0.285,78.9474,3.0,20.0,15.7143,11.4286
08193,2026-04-23,51.43,0.57,0.35,62.8571,3.0,-3.6145,-3.6145,-31.3253
00379,2026-04-23,134.72,0.193,0.072,168.0556,8.0,-7.9646,0.0,16.8142
00947,2026-04-23,25.27,0.236,0.182,29.6703,1.0,-5.2174,-6.087,-17.3913
03398,2026-04-23,94.44,0.132,0.054,144.4444,7.0,-28.3465,-18.8976,-6.2992
03398,2026-04-23,122.22,0.132,0.054,144.4444,7.0,-28.3465,-18.8976,-6.2992
03398,2026-04-23,135.19,0.132,0.054,144.4444,7.0,-28.3465,-18.8976,-6.2992
00911,2026-04-24,22.03,0.485,0.295,64.4068,3.0,153.6585,119.5122,70.7317
00911,2026-04-24,32.20,0.485,0.295,64.4068,3.0,153.6585,119.5122,70.7317
00911,2026-04-24,44.07,0.485,0.295,64.4068,3.0,153.6585,119.5122,70.7317
00381,2026-04-24,24.46,0.174,0.139,25.1799,1.0,-7.2848,-13.9073,-21.1921
01087,2026-04-24,20.78,1.01,0.77,31.1688,1.0,-32.9897,-3.0928,-25.7732
00499,2026-04-24,105.65,0.27,0.124,117.7419,5.0,-4.8544,-2.4272,-10.1942
00499,2026-04-25,66.13,,,,,,,
00911,2026-04-25,38.98,,,,,,,
01087,2026-04-25,25.97,,,,,,,
06610,2026-04-25,22.46,,,,,,,
00499,2026-04-26,66.13,,,,,,,
00911,2026-04-26,38.98,,,,,,,
01087,2026-04-26,25.97,,,,,,,
06610,2026-04-26,22.46,,,,,,,
00524,2026-04-27,76.36,0.98,0.55,78.1818,3.0,38.5542,22.8916,77.1084
00911,2026-04-27,48.78,1.09,0.41,165.8537,8.0,-6.0606,-17.1717,-27.2727
06988,2026-04-28,20.00,0.134,0.105,27.619,1.0,-12.1951,-5.6911,-27.6423
00532,2026-04-28,23.53,0.405,0.255,58.8235,2.0,9.2105,60.5263,97.3684
01912,2026-04-28,42.86,0.75,0.42,78.5714,3.0,,,
00532,2026-04-28,35.29,0.405,0.255,58.8235,2.0,9.2105,60.5263,97.3684
00532,2026-04-28,54.90,0.405,0.255,58.8235,2.0,9.2105,60.5263,97.3684
01682,2026-04-29,32.62,0.178,0.136,30.8824,1.0,16.8831,47.4026,72.0779
00911,2026-04-29,44.07,1.28,0.59,116.9492,5.0,-26.6667,-40.8333,-37.5
00911,2026-04-29,72.88,1.28,0.59,116.9492,5.0,-26.6667,-40.8333,-37.5
01472,2026-04-29,22.09,0.13,0.086,51.1628,2.0,8.0,1.6,12.0
01472,2026-04-29,32.56,0.13,0.086,51.1628,2.0,8.0,1.6,12.0
02936,2026-04-29,136.67,,,,,,,
00911,2026-04-29,96.61,1.28,0.59,116.9492,5.0,-26.6667,-40.8333,-37.5
01472,2026-04-29,46.51,0.13,0.086,51.1628,2.0,8.0,1.6,12.0
03997,2026-04-29,20.00,1.83,1.45,26.2069,1.0,4.4944,0.0,56.7416
09982,2026-04-30,28.81,0.114,0.059,93.2203,4.0,69.8795,56.6265,44.5783
09982,2026-04-30,27.12,0.114,0.059,93.2203,4.0,69.8795,56.6265,44.5783
09982,2026-04-30,27.12,0.114,0.059,93.2203,4.0,69.8795,56.6265,44.5783
08281,2026-04-30,110.71,0.385,0.14,175.0,8.0,0.0,21.1538,-4.6154
08436,2026-04-30,25.86,0.41,0.29,41.3793,2.0,23.1884,18.8406,-11.5942
01912,2026-04-30,31.76,0.66,0.425,55.2941,2.0,,,
01912,2026-04-30,43.53,0.66,0.425,55.2941,2.0,,,
01162,2026-04-30,34.83,0.24,0.178,34.8315,1.0,-14.6667,-11.1111,-11.1111
09958,2026-04-30,24.29,0.22,0.177,24.2938,1.0,-16.3636,-37.2727,-33.1818
01162,2026-05-01,26.40,,,,,,,
08281,2026-05-01,85.71,,,,,,,
09958,2026-05-01,24.29,,,,,,,
00318,2026-05-04,63.49,1.35,,,0.0,-17.0,-19.0,-28.0
00243,2026-05-05,32.08,0.95,0.53,79.2453,3.0,-4.8387,-17.7419,9.6774
00243,2026-05-05,45.28,0.95,0.53,79.2453,3.0,-4.8387,-17.7419,9.6774
08439,2026-05-05,132.56,4.83,,,0.0,8.6758,-2.7397,-30.137
00243,2026-05-05,56.60,0.95,0.53,79.2453,3.0,-4.8387,-17.7419,9.6774
00399,2026-05-05,34.55,0.106,0.055,92.7273,4.0,,,
00399,2026-05-05,81.82,0.106,0.055,92.7273,4.0,,,
01341,2026-05-05,21.05,0.026,0.019,36.8421,1.0,-8.6957,-8.6957,13.0435
00243,2026-05-05,75.47,0.95,0.53,79.2453,3.0,-4.8387,-17.7419,9.6774
00118,2026-05-05,74.36,0.41,0.195,110.2564,5.0,-3.1746,-17.4603,-27.3016
08439,2026-05-05,161.63,4.83,,,0.0,8.6758,-2.7397,-30.137
01843,2026-05-05,25.00,0.265,0.196,35.2041,1.0,0.0,-1.8182,4.0909
00118,2026-05-05,94.87,0.41,0.195,110.2564,5.0,-3.1746,-17.4603,-27.3016
00118,2026-05-05,105.13,0.41,0.195,110.2564,5.0,-3.1746,-17.4603,-27.3016
01633,2026-05-05,22.86,0.485,0.35,38.5714,1.0,1.1494,-8.046,6.8966
08439,2026-05-05,174.42,4.83,,,0.0,8.6758,-2.7397,-30.137
01633,2026-05-05,35.71,0.485,0.35,38.5714,1.0,1.1494,-8.046,6.8966
08439,2026-05-05,188.37,4.83,,,0.0,8.6758,-2.7397,-30.137
08529,2026-05-05,27.45,0.366,0.246,48.7805,2.0,24.9307,38.7812,55.1247
08529,2026-05-05,39.22,0.366,0.246,48.7805,2.0,24.9307,38.7812,55.1247
01843,2026-05-05,35.20,0.265,0.196,35.2041,1.0,0.0,-1.8182,4.0909
01341,2026-05-05,31.58,0.026,0.019,36.8421,1.0,-8.6957,-8.6957,13.0435
01932,2026-05-05,29.39,0.475,0.228,108.3333,5.0,-34.0909,-43.4091,-48.1818
08490,2026-05-05,44.86,0.229,0.107,114.0187,5.0,-7.5269,-17.7419,-5.3763
08490,2026-05-05,68.22,0.229,0.107,114.0187,5.0,-7.5269,-17.7419,-5.3763
00725,2026-05-05,38.82,1.21,0.81,49.3827,2.0,-20.339,-14.4068,-6.7797
08490,2026-05-05,94.39,0.229,0.107,114.0187,5.0,-7.5269,-17.7419,-5.3763
01284,2026-05-05,25.68,0.455,0.345,31.8841,1.0,-11.236,-11.236,1.1236
01932,2026-05-05,40.35,0.475,0.228,108.3333,5.0,-34.0909,-43.4091,-48.1818
01932,2026-05-05,57.89,0.475,0.228,108.3333,5.0,-34.0909,-43.4091,-48.1818
01932,2026-05-05,71.05,0.475,0.228,108.3333,5.0,-34.0909,-43.4091,-48.1818
01932,2026-05-05,82.02,0.475,0.228,108.3333,5.0,-34.0909,-43.4091,-48.1818
01932,2026-05-05,97.37,0.475,0.228,108.3333,5.0,-34.0909,-43.4091,-48.1818
06080,2026-05-05,22.73,0.19,0.154,23.3766,1.0,-13.2275,2.1164,-11.1111
06893,2026-05-06,32.65,0.16,0.098,63.2653,3.0,5.8333,154.1667,83.3333
01718,2026-05-06,20.97,0.4,0.31,29.0323,1.0,-2.7778,-9.7222,-8.3333
06893,2026-05-06,42.86,0.16,0.098,63.2653,3.0,5.8333,154.1667,83.3333
00309,2026-05-07,84.37,2.52,1.28,96.875,4.0,-2.7027,-16.2162,-21.6216
03919,2026-05-07,50.00,3.08,1.4,120.0,6.0,-22.2727,-35.9091,-50.0
03919,2026-05-07,61.43,3.08,1.4,120.0,6.0,-22.2727,-35.9091,-50.0
08529,2026-05-07,20.59,0.711,0.331,114.8036,5.0,-36.8664,-26.1137,-23.9631
08529,2026-05-07,32.35,0.711,0.331,114.8036,5.0,-36.8664,-26.1137,-23.9631
08529,2026-05-07,44.12,0.711,0.331,114.8036,5.0,-36.8664,-26.1137,-23.9631
03919,2026-05-07,85.71,3.08,1.4,120.0,6.0,-22.2727,-35.9091,-50.0
01808,2026-05-07,35.56,1.3,0.9,44.4444,2.0,14.1667,10.0,85.0
02370,2026-05-07,20.22,1.07,0.89,20.2247,1.0,-9.5238,18.0952,5.7143
08490,2026-05-07,30.87,0.197,0.149,32.2148,1.0,-3.5294,-8.8235,14.7059
03919,2026-05-07,96.43,3.08,1.4,120.0,6.0,-22.2727,-35.9091,-50.0
