n_max_est,alerts,t5_median_return_pct,t5_win_rate,t5_n,t10_median_return_pct,t10_win_rate,t10_n,t20_median_return_pct,t20_win_rate,t20_n
0.0,19,8.6758,0.7368,19,-6.0606,0.1579,19,4.8485,0.5789,19
1.0,131,-6.9106,0.2977,131,-8.046,0.2443,131,-13.2993,0.2969,128
2.0,101,-2.7027,0.4343,99,0.0,0.4747,99,-4.3011,0.3737,99
3.0,59,-8.75,0.3103,58,-10.0,0.2931,58,-9.1866,0.3621,58
4.0,47,-8.3333,0.4444,45,-13.8889,0.3778,45,-21.6418,0.2889,45
5.0,50,-27.2727,0.04,50,-33.2253,0.04,50,-28.9256,0.04,50
6.0,23,7.0423,0.5217,23,-35.8025,0.2609,23,-44.4444,0.2609,23
7.0,22,-8.6022,0.2727,22,2.0408,0.5455,22,12.2449,0.5455,22
8.0,15,151.2195,0.5333,15,107.3171,0.6,15,126.8293,0.6,15
10.0,22,-8.7719,0.3182,22,-16.1404,0.3182,22,-22.807,0.3182,22
12.0,3,0.0,0.0,3,-13.6674,0.0,3,-22.5513,0.0,3
,30,,,0,,,0,,,0
