app_bin,conc_bin,outcome,n,rate,note
2-4次,20-40%,led_to_go,117,0.0427,
2-4次,40-60%,led_to_go,99,0.0202,
2-4次,<20%,led_to_go,68,0.0588,
2-4次,>=60%,led_to_go,201,0.0498,
2-4次,unknown,led_to_go,164,0.0427,
>=5次,20-40%,led_to_go,71,0.0282,
>=5次,40-60%,led_to_go,52,0.0192,
>=5次,<20%,led_to_go,31,0.0323,
>=5次,>=60%,led_to_go,115,0.0348,
>=5次,unknown,led_to_go,23,0.0,
單次,20-40%,led_to_go,37,0.0541,
單次,40-60%,led_to_go,19,0.0,insufficient_sample
單次,<20%,led_to_go,10,0.0,insufficient_sample
單次,>=60%,led_to_go,55,0.0,
單次,unknown,led_to_go,164,0.0122,
2-4次,20-40%,led_to_perform,116,0.4828,
2-4次,40-60%,led_to_perform,99,0.4343,
2-4次,<20%,led_to_perform,67,0.5224,
2-4次,>=60%,led_to_perform,200,0.405,
2-4次,unknown,led_to_perform,134,0.4254,
>=5次,20-40%,led_to_perform,70,0.3857,
>=5次,40-60%,led_to_perform,52,0.4808,
>=5次,<20%,led_to_perform,31,0.5484,
>=5次,>=60%,led_to_perform,115,0.4522,
>=5次,unknown,led_to_perform,21,0.4762,
單次,20-40%,led_to_perform,36,0.3611,
單次,40-60%,led_to_perform,19,0.4211,insufficient_sample
單次,<20%,led_to_perform,10,0.3,insufficient_sample
單次,>=60%,led_to_perform,55,0.3455,
單次,unknown,led_to_perform,100,0.31,
