code5,name,scan_date,appearance_seq,days_since_first,entry_close,entry_intraday,entry_intraday_note,price_missing,days_available,ret_t5,ret_t10,ret_t20,ret_t60,max_ret_20,min_ret_20,ret_t5_est,ret_t10_est,ret_t20_est,ret_t60_est,max_ret_20_est,min_ret_20_est,has_capital_action,fu_go,fu_rights,fu_placing,fu_consolidation,fu_cb,first_action_type,first_action_days,mcap,ratio,turnover_to_mcap,has_broker_shot,ccass_asof_date,ccass_top10_pct,ccass_top5_pct,ccass_top10_delta,ccass_window_days,ccass_suspect_denominator,concentration_rising,hd_top10_pct_of_ccass,hd_asof_date,hd_top10_delta,dump_asof_date,dump_c10_shares,dump_issued_shares,dump_top10_pct_of_issued,dump_top10_pct_of_issued_raw,dump_top10_delta_shares,dump_window_days,dump_concentration_rising,dump_corp_action_in_window,dump_issued_missing,dump_top10_x_appearance,dump_top10_x_mcap,board,recurrence,prior_go_365d,prior_rights_365d,prior_rights_180d,prior_placing_365d,prior_placing_180d,prior_consolidation_365d,prior_consolidation_180d,prior_change_of_control,feature_cutoff,led_to_go_180d,led_to_perform,led_to_rights_180d
00018,東方傳媒集團,2026-07-31,1,0,0.225,0.225,eod_proxy,0,27,-5.3333,4.8889,-5.3333,,4.8889,-5.3333,0,0,0,0,0,0,0,0,0,0,0,0,,,539531527.0,23.66,0.36,0,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,0,0,0,0,0,0,0,0,0,2026-07-31,0,,0
00021,大中華控股,2025-09-08,1,0,0.118,0.118,eod_proxy,0,245,-7.6271,-17.7966,-12.7119,-16.9492,0.8475,-17.7966,0,0,0,0,0,0,0,0,0,0,0,0,,,469077542.0,26.55,0.12,0,,,,,,,,,,,2025-09-04,1066961551.0,3975233406.0,26.8402,26.8402,10780000.0,107.0,0.5,0,0,20-40%×1,20-40%×3-10億,,0,0,0,0,0,0,0,0,0,2025-09-08,0,False,0
00021,大中華控股,2025-12-29,2,112,0.107,0.107,eod_proxy,0,170,-0.9346,-4.6729,-15.8879,-41.1215,-0.9346,-20.5607,0,0,0,0,0,0,0,0,0,0,0,0,,,425349974.0,142.25,0.15,0,,,,,,,,,,,2025-12-23,1042223237.0,3975233406.0,26.2179,26.2179,-13958314.0,182.0,0.5,0,0,20-40%×2,20-40%×3-10億,,1,0,0,0,0,0,0,0,0,2025-12-29,0,False,0
00021,大中華控股,2025-12-30,3,113,0.103,0.103,eod_proxy,0,169,0.9709,-3.8835,-13.5922,-35.9223,2.9126,-17.4757,0,0,0,0,0,0,0,0,0,0,0,0,,,409449041.0,12.88,0.21,0,,,,,,,,,,,2025-12-24,1042223237.0,3975233406.0,26.2179,26.2179,-13958314.0,183.0,0.5,0,0,20-40%×3-4,20-40%×3-10億,,1,0,0,0,0,0,0,0,0,2025-12-30,0,False,0
00021,大中華控股,2026-05-22,4,256,0.082,0.082,eod_proxy,0,74,-4.878,6.0976,-2.439,28.0488,18.2927,-4.878,0,0,0,0,0,0,0,0,0,0,0,0,,,325969139.0,16.04,0.2,0,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,1,0,0,0,0,0,0,0,0,2026-05-22,0,True,0
00021,大中華控股,2026-05-26,5,260,0.091,0.091,eod_proxy,0,73,-14.2857,3.2967,-12.0879,20.8791,6.5934,-14.2857,0,0,0,0,0,0,0,0,0,0,0,0,,,361746240.0,16.17,0.47,1,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,1,0,0,0,0,0,0,0,0,2026-05-26,0,True,0
00021,大中華控股,2026-05-28,6,262,0.097,0.097,eod_proxy,0,71,-3.0928,-12.3711,-24.7423,-13.4021,-3.0928,-25.7732,0,0,0,0,0,0,0,0,0,0,0,0,,,385597640.0,11.75,0.74,1,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,1,0,0,0,0,0,0,0,0,2026-05-28,0,False,0
00021,大中華控股,2026-08-07,7,333,0.082,0.082,eod_proxy,0,22,25.6098,28.0488,-4.878,,34.1463,-7.3171,0,0,0,0,0,0,0,0,0,0,0,0,,,325969139.0,13.0,0.29,0,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,1,0,0,0,0,0,0,0,0,2026-08-07,0,,0
00021,大中華控股,2026-08-31,8,357,0.109,0.109,eod_proxy,0,6,-29.3578,,,,-23.8532,-30.2752,0,0,0,0,0,0,0,0,0,0,0,0,,,433300441.0,14.37,0.57,0,2026-08-27,80.97,66.52,,,0.0,,,,,,,,,,,,,0,0,unknown,unknown,,1,0,0,0,0,0,0,0,0,2026-08-31,0,,0
00022,茂盛控股,2025-08-05,1,0,8.6,8.6,eod_proxy,0,269,-4.6512,-28.4884,-23.2558,-44.186,-2.907,-29.0698,0,0,0,0,0,0,0,0,0,0,0,0,,,338218710.0,10.29,0.94,0,,,,,,,,,,,2025-08-01,1708711390.0,39327757.0,,4344.7975,28738695.0,83.0,,1,0,unknown,unknown,,0,0,0,0,0,0,0,0,0,2025-08-05,0,False,0
