feature,group,n,outcome,go_rate,baseline,lift,sample_note
mcap,1-3億,1539,led_to_rights_180d,0.030539,0.026511,1.151931,
mcap,3-10億,1756,led_to_rights_180d,0.017654,0.026511,0.665893,
mcap,<1億,740,led_to_rights_180d,0.039189,0.026511,1.478202,
mcap,>=10億,1,led_to_rights_180d,0.0,0.026511,0.0,insufficient_sample
turnover_to_mcap,1-5%,1467,led_to_rights_180d,0.02863,0.026511,1.079907,
turnover_to_mcap,<1%,2147,led_to_rights_180d,0.022357,0.026511,0.843289,
turnover_to_mcap,>5%,422,led_to_rights_180d,0.040284,0.026511,1.519511,
ratio,20-50x,1155,led_to_rights_180d,0.029437,0.026511,1.110361,
ratio,<20x,1851,led_to_rights_180d,0.025932,0.026511,0.978143,
ratio,>50x,1030,led_to_rights_180d,0.024272,0.026511,0.915525,
prior_go_365d,0,3972,led_to_rights_180d,0.026687,0.026511,1.006616,
prior_go_365d,1,64,led_to_rights_180d,0.015625,0.026511,0.589369,
prior_change_of_control,0,4036,led_to_rights_180d,0.026511,0.026511,1.0,
prior_placing_180d,0,3830,led_to_rights_180d,0.022454,0.026511,0.846968,
prior_placing_180d,1,206,led_to_rights_180d,0.101942,0.026511,3.845205,
prior_rights_180d,0,3964,led_to_rights_180d,0.026741,0.026511,1.008648,
prior_rights_180d,1,72,led_to_rights_180d,0.013889,0.026511,0.523884,
prior_consolidation_180d,0,3997,led_to_rights_180d,0.025519,0.026511,0.962572,
prior_consolidation_180d,1,39,led_to_rights_180d,0.128205,0.026511,4.83585,
has_broker_shot,0,2921,led_to_rights_180d,0.020199,0.026511,0.761882,
has_broker_shot,1,1115,led_to_rights_180d,0.043049,0.026511,1.623805,
appearance_seq,1,1226,led_to_rights_180d,0.026101,0.026511,0.984525,
appearance_seq,2,941,led_to_rights_180d,0.025505,0.026511,0.962031,
appearance_seq,3-4,1129,led_to_rights_180d,0.022143,0.026511,0.835244,
appearance_seq,>=5,740,led_to_rights_180d,0.035135,0.026511,1.325284,
recurrence,0,1226,led_to_rights_180d,0.026101,0.026511,0.984525,
recurrence,1,2810,led_to_rights_180d,0.02669,0.026511,1.006752,
board,unknown,4036,led_to_rights_180d,0.026511,0.026511,1.0,
ccass_top10_pct,50-70%,5,led_to_rights_180d,0.0,0.026511,0.0,insufficient_sample
ccass_top10_pct,>=70%,76,led_to_rights_180d,0.013158,0.026511,0.496311,
ccass_top10_pct,unknown,3955,led_to_rights_180d,0.026802,0.026511,1.010943,
concentration_rising,flat(±1pp),60,led_to_rights_180d,0.016667,0.026511,0.62866,
concentration_rising,unknown,3976,led_to_rights_180d,0.02666,0.026511,1.005604,
dump_top10_pct_of_issued,20-40%,949,led_to_rights_180d,0.032666,0.026511,1.232148,
dump_top10_pct_of_issued,40-60%,691,led_to_rights_180d,0.024602,0.026511,0.927979,
dump_top10_pct_of_issued,<20%,442,led_to_rights_180d,0.049774,0.026511,1.877447,
dump_top10_pct_of_issued,>=60%,1648,led_to_rights_180d,0.006675,0.026511,0.251769,
dump_top10_pct_of_issued,unknown,306,led_to_rights_180d,0.084967,0.026511,3.204936,
dump_concentration_rising,falling(<-1pp),715,led_to_rights_180d,0.041958,0.026511,1.582642,
dump_concentration_rising,flat(±1pp),1985,led_to_rights_180d,0.013602,0.026511,0.513063,
dump_concentration_rising,rising(>+1pp),1030,led_to_rights_180d,0.023301,0.026511,0.878904,
dump_concentration_rising,unknown,306,led_to_rights_180d,0.084967,0.026511,3.204936,
dump_top10_x_appearance,20-40%×1,294,led_to_rights_180d,0.044218,0.026511,1.667875,
dump_top10_x_appearance,20-40%×2,226,led_to_rights_180d,0.026549,0.026511,1.001406,
dump_top10_x_appearance,20-40%×3-4,261,led_to_rights_180d,0.02682,0.026511,1.011637,
dump_top10_x_appearance,20-40%×>=5,168,led_to_rights_180d,0.029762,0.026511,1.122608,
dump_top10_x_appearance,40-60%×1,203,led_to_rights_180d,0.019704,0.026511,0.743244,
dump_top10_x_appearance,40-60%×2,166,led_to_rights_180d,0.03012,0.026511,1.136133,
dump_top10_x_appearance,40-60%×3-4,206,led_to_rights_180d,0.014563,0.026511,0.549315,
dump_top10_x_appearance,40-60%×>=5,116,led_to_rights_180d,0.043103,0.026511,1.625846,
dump_top10_x_appearance,<20%×1,140,led_to_rights_180d,0.064286,0.026511,2.424833,
dump_top10_x_appearance,<20%×2,113,led_to_rights_180d,0.079646,0.026511,3.004218,
dump_top10_x_appearance,<20%×3-4,129,led_to_rights_180d,0.031008,0.026511,1.169601,
dump_top10_x_appearance,<20%×>=5,60,led_to_rights_180d,0.0,0.026511,0.0,
dump_top10_x_appearance,>=60%×1,478,led_to_rights_180d,0.006276,0.026511,0.236734,
dump_top10_x_appearance,>=60%×2,376,led_to_rights_180d,0.005319,0.026511,0.200636,
dump_top10_x_appearance,>=60%×3-4,462,led_to_rights_180d,0.008658,0.026511,0.326577,
dump_top10_x_appearance,>=60%×>=5,332,led_to_rights_180d,0.006024,0.026511,0.227227,
dump_top10_x_appearance,unknown,306,led_to_rights_180d,0.084967,0.026511,3.204936,
dump_top10_x_mcap,20-40%×1-3億,373,led_to_rights_180d,0.024129,0.026511,0.910125,
dump_top10_x_mcap,20-40%×3-10億,465,led_to_rights_180d,0.019355,0.026511,0.730057,
dump_top10_x_mcap,20-40%×<1億,111,led_to_rights_180d,0.117117,0.026511,4.417614,
dump_top10_x_mcap,40-60%×1-3億,250,led_to_rights_180d,0.016,0.026511,0.603514,
dump_top10_x_mcap,40-60%×3-10億,314,led_to_rights_180d,0.038217,0.026511,1.441514,
dump_top10_x_mcap,40-60%×<1億,127,led_to_rights_180d,0.007874,0.026511,0.297005,
dump_top10_x_mcap,<20%×1-3億,186,led_to_rights_180d,0.053763,0.026511,2.027937,
dump_top10_x_mcap,<20%×3-10億,186,led_to_rights_180d,0.021505,0.026511,0.811175,
dump_top10_x_mcap,<20%×<1億,70,led_to_rights_180d,0.114286,0.026511,4.310814,
dump_top10_x_mcap,>=60%×1-3億,587,led_to_rights_180d,0.013629,0.026511,0.514066,
dump_top10_x_mcap,>=60%×3-10億,709,led_to_rights_180d,0.002821,0.026511,0.106402,
dump_top10_x_mcap,>=60%×<1億,352,led_to_rights_180d,0.002841,0.026511,0.107158,
dump_top10_x_mcap,unknown,306,led_to_rights_180d,0.084967,0.026511,3.204936,
