group,code5,name,rtss_count,stockscan_count,rtss_types,stockscan_types,rtss_first_ts,rtss_max_count_today,rtss_max_chg_pct,possible_reason
stockscan_only,00096,友成控股,0,1,,VOLUME,,,,
stockscan_only,00387,力豐(集團),0,1,,VOLUME,,,,
stockscan_only,00532,王氏港建,0,1,,VOLUME,,,,
stockscan_only,00690,聯康生物科技集團,0,1,,VOLUME,,,,
stockscan_only,00829,神冠控股,0,1,,VOLUME,,,,
stockscan_only,01001,滬港聯合,0,1,,VOLUME,,,,
stockscan_only,01443,富臨集團控股,0,2,,SURGE;VOLUME,,,,
stockscan_only,01842,植華集團,0,2,,SURGE;VOLUME,,,,
stockscan_only,01869,貓屎咖啡控股,0,1,,VOLUME,,,,
stockscan_only,02312,LONG投資集團,0,1,,VOLUME,,,,
stockscan_only,02381,蜆殼電業,0,1,,SURGE,,,,
stockscan_only,02738,華津國際控股,0,2,,SURGE;VOLUME,,,,
stockscan_only,03477,平安東西精選,0,1,,VOLUME,,,,
stockscan_only,03889,大成玉米集團,0,2,,SURGE;VOLUME,,,,
stockscan_only,06080,榮智控股,0,1,,VOLUME,,,,
stockscan_only,06988,樂享集團,0,2,,SURGE;VOLUME,,,,
stockscan_only,08189,泰達生物,0,1,,VOLUME,,,,
stockscan_only,08219,恆偉集團控股,0,1,,SURGE,,,,
stockscan_only,08238,玖方數智,0,1,,VOLUME,,,,
stockscan_only,08481,盛龍錦秀國際,0,1,,VOLUME,,,,
