scan_date,code5,name,close,chg_pct,turnover_day,mcap_total,ratio,top10_pct,has_broker_shot,spring_duck_flag
2025-06-26,08293,星亞控股,0.094,70.91,513130,20213769.0,355.35,,0.0,0
2025-06-26,08226,樹熊金融集團,0.148,7.25,1905470,61790591.0,361.84,,0.0,0
2025-06-26,01235,專業旅運,0.165,13.01,1422750,84126735.0,151.21,,0.0,0
2025-06-26,01647,雄岸科技,0.085,11.84,8403100,101578400.0,20.6,,0.0,0
2025-06-26,08267,藍港互動,0.33,15.79,3091200,121932678.0,25.17,,0.0,0
2025-06-26,02212,高鵬礦業,0.1,0.0,590820,126389920.0,844.03,,0.0,0
2025-06-26,00510,時富金融服務集團,0.295,9.26,762300,127196560.0,12.25,,0.0,0
2025-06-26,08350,立橋證券控股,0.142,-11.25,732890,134909088.0,30.71,,0.0,0
2025-06-26,01987,BENG SOON MACH,0.136,3.82,719460,136000000.0,33.47,,0.0,0
2025-06-26,01305,偉志控股,0.79,0.0,500720,171134540.0,238.21,,0.0,0
2025-06-26,01150,米蘭站,0.164,12.33,687820,173337611.0,15.41,,0.0,0
2025-06-26,02263,富石金融,0.191,-4.5,1132500,191000000.0,13.28,,0.0,0
2025-06-26,01073,大禹金融,0.115,-8.0,792450,262045944.0,21.3,,0.0,0
2025-06-26,01895,鑫苑服務,0.445,-2.2,2437410,263901688.0,25.61,,0.0,0
2025-06-26,06882,東瀛遊,0.575,3.6,3453300,288908750.0,25.83,,0.0,0
2025-06-26,02699,新明中國,11.171,19.02,2420050,293805209.0,17.83,,0.0,0
2025-06-26,01822,中木國際,0.16,15.94,961930,315807578.0,19.84,,0.0,0
2025-06-26,06866,佐力科創,0.281,1.81,581210,331580000.0,48.18,,0.0,0
2025-06-26,01856,依波路,0.96,-3.03,4320260,345847212.0,46.29,,0.0,0
2025-06-26,06118,奧星生命科技,0.7,1.45,2584140,358807400.0,17.18,,0.0,0
2025-06-26,00227,第一上海,0.39,9.86,44228130,854365163.0,13.78,,0.0,0
2025-06-26,03329,交銀國際,0.325,-2.99,8491240,888677400.0,11.34,,0.0,0
2025-06-26,01278,中國新城鎮,0.099,17.86,1389320,962898395.0,11.75,,0.0,0
2025-06-27,08475,易站綠色科技,0.071,-43.2,1139395,4839360.0,19.16,,0.0,0
2025-06-27,08320,沛然環保,0.095,-9.52,1665360,69653050.0,3589.14,,0.0,0
2025-06-27,02682,潤利海事,0.108,20.0,3383980,108000000.0,109.52,,0.0,0
2025-06-27,00185,正商實業,0.075,0.0,667980,143504000.0,33.31,,0.0,0
2025-06-27,08267,藍港互動,0.39,18.18,5513500,144102256.0,12.98,,0.0,0
2025-06-27,01792,CMON,0.756,4.85,796460,187246080.0,27.35,,0.0,0
2025-06-27,02031,澳至尊,0.36,4.35,652950,274320000.0,12.6,,0.0,0
2025-06-27,01961,多牛科技,0.38,-2.56,1230740,279034446.0,30.36,,0.0,0
2025-06-27,01636,中國金屬利用,0.78,122.86,2111550,349561466.0,42.14,,0.0,0
2025-06-27,03389,亨得利,0.128,21.9,1699510,563714427.0,53.2,,0.0,0
2025-06-27,02530,紐曼思,0.635,4.96,4520560,635000000.0,62.18,,0.0,0
2025-06-27,00184,激成投資,2.14,1.42,533230,728028000.0,12.54,,0.0,0
2025-06-27,00237,安全貨倉,1.92,6.08,1980640,777600000.0,30.14,,0.0,0
2025-06-27,01846,德視佳,2.756,-3.5,1581540,883865736.0,12.99,,0.0,0
2025-06-27,01082,源宇宙教育,1.52,-1.3,1015440,924231258.0,34.42,,0.0,0
2025-06-30,08226,樹熊金融集團,0.189,26.85,6818010,78908254.0,19.36,,0.0,0
2025-06-30,01695,椰豐集團,0.09,-3.23,648400,97200000.0,11.29,,0.0,0
2025-06-30,01132,橙天嘉禾,0.049,16.67,3160490,137183783.0,257.37,,0.0,0
2025-06-30,01473,環聯連訊,0.145,4.32,811470,171453987.0,23.95,,0.0,0
2025-06-30,08509,威揚酒業控股,0.53,6.0,1112700,212000000.0,17.54,,0.0,0
2025-06-30,00630,雋泰控股,0.27,65.64,1099740,261238984.0,16.54,,0.0,0
2025-06-30,01643,現代中藥集團,0.38,5.56,611790,273600000.0,12.14,,0.0,0
2025-06-30,00328,ALCO HOLDINGS,1.122,2.19,2863470,321331992.0,16.68,,0.0,0
2025-06-30,00927,富士高實業,0.63,14.55,768600,321933150.0,65.26,,0.0,0
2025-06-30,01489,GC CONSTRUCTION,0.325,0.0,1476400,325000000.0,11.55,,0.0,0
2025-06-30,06913,華南職業教育,0.26,0.0,866430,346840000.0,15.16,,0.0,0
2025-06-30,00413,南華集團控股,0.031,0.0,3268110,409860367.0,240.34,,0.0,0
2025-06-30,00789,雅天妮集團,1.55,-1.59,778300,410430119.0,14.04,,0.0,0
2025-06-30,00582,神話世界,0.134,8.94,578600,489298506.0,25.71,,0.0,0
2025-06-30,00496,卡森國際,0.36,10.77,559650,661154887.0,15.28,,0.0,0
2025-06-30,02540,樂思集團,1.31,0.77,7259400,786000000.0,11.2,,0.0,0
2025-06-30,01483,網譽科技,1.2,14.29,630900,983340000.0,63.09,,0.0,0
2025-07-02,01621,域高國際控股,0.087,7.41,565400,87000000.0,21.97,,0.0,0
2025-07-02,02266,黎氏企業,0.29,-6.45,550530,116000000.0,13.56,,0.0,0
2025-07-02,08143,金威醫療,0.119,-10.53,728560,160978437.0,26.63,,0.0,0
2025-07-02,00893,中國鐵鈦,0.075,20.97,1827640,168676156.0,34.82,,0.0,0
2025-07-02,00953,邵氏兄弟控股,0.155,29.17,9640770,220039550.0,99.15,,0.0,0
2025-07-02,00757,陽光能源,0.081,15.71,1332400,269225462.0,18.33,,0.0,0
2025-07-02,00114,興利集團,0.49,2.08,688600,296200474.0,13.9,,0.0,0
2025-07-02,01643,現代中藥集團,0.43,13.16,1419600,309600000.0,13.14,,0.0,0
2025-07-02,01795,亞東集團,0.69,23.21,4178760,414000000.0,73.91,,0.0,0
2025-07-02,00320,金寶通,0.536,28.85,1182240,451601440.0,134.53,,0.0,0
2025-07-02,02530,紐曼思,0.655,0.0,5694640,655000000.0,11.15,,0.0,0
2025-07-02,03300,中國玻璃,0.365,15.87,1799030,670219664.0,10.51,,0.0,0
2025-07-02,01346,利華控股集團,1.14,-4.2,62236600,728574000.0,67.26,,0.0,0
2025-07-02,06136,康達環保,0.365,10.61,1922720,842058102.0,19.66,,0.0,0
2025-07-02,00399,星太鏈集團,0.26,26.21,36698360,852048061.0,118.38,,0.0,0
2025-07-03,08092,ITE HOLDINGS,0.045,40.62,579740,41647860.0,27.97,,0.0,0
