book,group,horizon,n_total,n_clean,n_est,median_ret_pct,win_rate
first,all,t5,1219,1217,2,-0.7812,0.4199
first,all,t10,1204,1202,2,-1.2502,0.4185
first,all,t20,1194,1192,2,-1.3606,0.443
first,all,t60,1132,1125,7,-3.6496,0.424
first,with_ca,t5,167,166,1,-0.1782,0.4458
first,with_ca,t10,165,164,1,-1.5896,0.4024
first,with_ca,t20,168,167,1,0.3822,0.503
first,with_ca,t60,166,162,4,1.9053,0.5309
first,without_ca,t5,1052,1051,1,-0.784,0.4158
first,without_ca,t10,1039,1038,1,-1.1466,0.421
first,without_ca,t20,1026,1025,1,-1.6393,0.4332
first,without_ca,t60,966,963,3,-4.4776,0.406
first,fu_go,t5,37,37,0,2.8169,0.6216
first,fu_go,t10,35,35,0,4.1096,0.5714
first,fu_go,t20,38,38,0,30.9,0.7105
first,fu_go,t60,37,37,0,100.0,0.8378
first,fu_rights,t5,28,28,0,-2.1916,0.2857
first,fu_rights,t10,28,28,0,-2.491,0.1429
first,fu_rights,t20,29,29,0,-2.139,0.3793
first,fu_rights,t60,29,29,0,-5.5294,0.3103
first,fu_placing,t5,95,95,0,0.0,0.4526
first,fu_placing,t10,94,94,0,-2.255,0.4149
first,fu_placing,t20,95,95,0,0.0,0.4842
first,fu_placing,t60,95,94,1,-0.7874,0.4894
first,fu_consolidation,t5,21,20,1,-4.4643,0.35
first,fu_consolidation,t10,21,20,1,-1.8773,0.4
first,fu_consolidation,t20,21,20,1,-0.5952,0.45
first,fu_consolidation,t60,20,16,4,-1.8241,0.5
first,fu_cb,t5,10,10,0,-4.1085,0.4
first,fu_cb,t10,10,10,0,-2.0817,0.4
first,fu_cb,t20,10,10,0,1.9524,0.6
first,fu_cb,t60,10,10,0,5.5777,0.6
each,all,t5,3955,3951,4,-1.1834,0.4027
each,all,t10,3861,3856,5,-1.6737,0.4085
each,all,t20,3748,3736,12,-2.2222,0.4189
each,all,t60,3270,3223,47,-5.7143,0.3981
each,with_ca,t5,664,662,2,-1.0846,0.429
each,with_ca,t10,659,657,2,-1.7143,0.4201
each,with_ca,t20,663,661,2,-1.2195,0.4599
each,with_ca,t60,622,590,32,-1.6349,0.478
each,without_ca,t5,3291,3289,2,-1.2048,0.3974
each,without_ca,t10,3202,3199,3,-1.6667,0.4061
each,without_ca,t20,3085,3075,10,-2.5,0.4101
each,without_ca,t60,2648,2633,15,-6.5574,0.3802
each,fu_go,t5,96,96,0,2.7973,0.5729
each,fu_go,t10,91,91,0,4.1096,0.5495
each,fu_go,t20,98,98,0,18.7873,0.6429
each,fu_go,t60,103,103,0,91.0714,0.8252
each,fu_rights,t5,98,98,0,-2.9623,0.3163
each,fu_rights,t10,98,98,0,-3.862,0.2245
each,fu_rights,t20,99,99,0,-6.0332,0.303
each,fu_rights,t60,94,93,1,-13.9535,0.1935
each,fu_placing,t5,425,424,1,-0.9712,0.4387
each,fu_placing,t10,424,423,1,-1.3889,0.4468
each,fu_placing,t20,423,422,1,-1.205,0.4597
each,fu_placing,t60,391,377,14,-1.6393,0.4828
each,fu_consolidation,t5,82,81,1,-2.7027,0.321
each,fu_consolidation,t10,82,81,1,-2.0833,0.3951
each,fu_consolidation,t20,81,80,1,-1.3826,0.4375
each,fu_consolidation,t60,77,46,31,-13.0479,0.3478
each,fu_cb,t5,41,41,0,-3.1746,0.3415
each,fu_cb,t10,40,40,0,-5.5499,0.3
each,fu_cb,t20,41,41,0,-1.3514,0.4878
each,fu_cb,t60,40,39,1,-6.7416,0.4359
