code5,symbol_lb,name_seed,name_hk,industry,board,lot_size,total_shares,hk_shares,has_domestic_shares,delisted_suspect,static_missing,in_scan
00001,1.HK,長和,長和,,SecurityBoard.HKEquity,500,3830044500.0,3830044500.0,0,0,0,1
00002,2.HK,中電控股,中電控股,,SecurityBoard.HKEquity,500,2526450570.0,2526450570.0,0,0,0,1
00003,3.HK,香港中華煤氣,香港中華煤氣,,SecurityBoard.HKEquity,1000,18659870098.0,18659870098.0,0,0,0,1
00004,4.HK,九龍倉集團,九龍倉集團,,SecurityBoard.HKEquity,1000,3056027327.0,3056027327.0,0,0,0,1
00005,5.HK,匯豐控股,匯豐控股,,SecurityBoard.HKEquity,400,17166691783.0,17166691783.0,0,0,0,1
00006,6.HK,電能實業,電能實業,,SecurityBoard.HKEquity,500,2131105154.0,2131105154.0,0,0,0,1
00007,7.HK,智富資源投資,智富資源投資,,SecurityBoard.HKEquity,10000,3355140697.0,3355140697.0,0,0,0,1
00008,8.HK,電訊盈科,電訊盈科,,SecurityBoard.HKEquity,1000,7747762518.0,7747762518.0,0,0,0,1
00010,10.HK,恒隆集團,恆隆集團,,SecurityBoard.HKEquity,1000,1361618242.0,1361618242.0,0,0,0,1
00012,12.HK,恒基地產,恆基地產,,SecurityBoard.HKEquity,1000,4841387003.0,4841387003.0,0,0,0,1
00013,13.HK,和黃醫藥,和黃醫藥,,SecurityBoard.HKEquity,500,872335120.0,872335120.0,0,0,0,1
00014,14.HK,希慎興業,希慎興業,,SecurityBoard.HKEquity,1000,1027008223.0,1027008223.0,0,0,0,1
00016,16.HK,新鴻基地產,新鴻基地產,,SecurityBoard.HKEquity,500,2897780274.0,2897780274.0,0,0,0,1
00017,17.HK,新世界發展,新世界發展,,SecurityBoard.HKEquity,1000,2516633171.0,2516633171.0,0,0,0,1
00018,18.HK,東方傳媒集團,東方傳媒集團,,SecurityBoard.HKEquity,2000,2397917898.0,2397917898.0,0,0,0,1
00019,19.HK,太古股份公司Ａ,太古股份公司A,,SecurityBoard.HKEquity,500,1348774500.0,1348774500.0,0,0,0,1
00020,20.HK,商湯－Ｗ,商湯-W,,SecurityBoard.HKEquity,1000,42216590703.0,42216590703.0,0,0,0,1
00021,21.HK,大中華控股,大中華控股,,SecurityBoard.HKEquity,5000,3975233406.0,3975233406.0,0,0,0,1
00022,22.HK,茂盛控股,茂盛控股,,SecurityBoard.HKEquity,2000,39327757.0,39327757.0,0,0,0,1
00023,23.HK,東亞銀行,東亞銀行,,SecurityBoard.HKEquity,200,2646773166.0,2646773166.0,0,0,0,1
00025,25.HK,CHEVALIER INT'L,其士國際,,SecurityBoard.HKEquity,2000,301268440.0,301268440.0,0,0,0,1
00026,26.HK,中華汽車,中華汽車,,SecurityBoard.HKEquity,200,45218856.0,45218856.0,0,0,0,1
00027,27.HK,銀河娛樂,銀河娛樂,,SecurityBoard.HKEquity,1000,4379240712.0,4379240712.0,0,0,0,1
00028,28.HK,天安,天安,,SecurityBoard.HKEquity,1000,1466069491.0,1466069491.0,0,0,0,1
00029,29.HK,達力集團,達力集團,,SecurityBoard.HKEquity,2000,237703681.0,237703681.0,0,0,0,1
00030,30.HK,雲白國際,雲白國際,,SecurityBoard.HKEquity,2000,9427962656.0,9427962656.0,0,0,0,1
00031,31.HK,航天控股,航天控股,,SecurityBoard.HKEquity,2000,3085021882.0,3085021882.0,0,0,0,1
00032,32.HK,港通控股,港通控股,,SecurityBoard.HKEquity,1000,372688206.0,372688206.0,0,0,0,1
00033,33.HK,INTL GENIUS,INTL GENIUS,,SecurityBoard.HKEquity,2000,558245104.0,558245104.0,0,0,0,1
00034,34.HK,九龍建業,九龍建業,,SecurityBoard.HKEquity,1000,1306206058.0,1306206058.0,0,0,0,1
00035,35.HK,遠東發展,遠東發展,,SecurityBoard.HKEquity,1000,3059040482.0,3059040482.0,0,0,0,1
00036,36.HK,遠東控股國際,遠東控股國際,,SecurityBoard.HKEquity,6000,326735577.0,326735577.0,0,0,0,1
00037,37.HK,遠東酒店實業,遠東酒店實業,,SecurityBoard.HKEquity,2000,752529810.0,752529810.0,0,0,0,1
00038,38.HK,第一拖拉機股份,第一拖拉機股份,,SecurityBoard.HKEquity,2000,1123645275.0,391940000.0,0,0,0,1
00039,39.HK,中國北大荒,中國北大荒,,SecurityBoard.HKEquity,8000,8037572616.0,8037572616.0,0,0,0,1
00040,40.HK,金山科技工業,金山科技工業,,SecurityBoard.HKEquity,1000,902488110.0,902488110.0,0,0,0,1
00041,41.HK,鷹君,鷹君,,SecurityBoard.HKEquity,1000,749758345.0,749758345.0,0,0,0,1
00042,42.HK,東北電氣,東北電氣,,SecurityBoard.HKEquity,2000,873370000.0,257950000.0,0,0,0,1
00045,45.HK,大酒店,大酒店,,SecurityBoard.HKEquity,500,1666939850.0,1666939850.0,0,0,0,1
00046,46.HK,科聯系統,科聯系統,,SecurityBoard.HKEquity,2000,244334384.0,244334384.0,0,0,0,1
00048,48.HK,中國汽車內飾,中國汽車內飾,,SecurityBoard.HKEquity,10000,437787760.0,437787760.0,0,0,0,1
00050,50.HK,香港小輪（集團）,香港小輪(集團),,SecurityBoard.HKEquity,1000,356273883.0,356273883.0,0,0,0,1
00051,51.HK,海港企業,海港企業,,SecurityBoard.HKEquity,1000,708750000.0,708750000.0,0,0,0,1
00052,52.HK,大快活集團,大快活集團,,SecurityBoard.HKEquity,500,129552780.0,129552780.0,0,0,0,1
00053,53.HK,國浩集團,國浩集團,,SecurityBoard.HKEquity,1000,329051373.0,329051373.0,0,0,0,1
00055,55.HK,中星集團控股,中星集團控股,,SecurityBoard.HKEquity,10000,253359456.0,253359456.0,0,0,0,1
00057,57.HK,震雄集團,震雄集團,,SecurityBoard.HKEquity,2000,630561600.0,630561600.0,0,0,0,1
00058,58.HK,新威國際,新威國際,,SecurityBoard.HKEquity,20000,515520000.0,515520000.0,0,0,0,1
00059,59.HK,天譽置業,天譽置業,,SecurityBoard.HKEquity,2000,8446331365.0,8446331365.0,0,0,0,1
00060,60.HK,香港食品投資,香港食品投資,,SecurityBoard.HKEquity,2000,255654000.0,255654000.0,0,0,0,1
00061,61.HK,綠領控股,綠領控股,,SecurityBoard.HKEquity,10000,131565101.0,131565101.0,0,0,0,1
00062,62.HK,載通,載通,,SecurityBoard.HKEquity,400,536397661.0,536397661.0,0,0,0,1
00063,63.HK,中亞烯谷集團,中亞烯谷集團,,SecurityBoard.HKEquity,1000,6352702084.0,6352702084.0,0,0,0,1
00064,64.HK,結好控股,結好控股,,SecurityBoard.HKEquity,2000,618197262.0,618197262.0,0,0,0,1
00065,65.HK,弘海高新資源,弘海高新資源,,SecurityBoard.HKEquity,4000,245536916.0,245536916.0,0,0,0,1
00066,66.HK,港鐵公司,港鐵公司,,SecurityBoard.HKEquity,500,6224823171.0,6224823171.0,0,0,0,1
00068,68.HK,MANYCORE TECH,群核科技,,SecurityBoard.HKEquity,500,1726199340.0,1726199340.0,0,0,0,1
00069,69.HK,香格里拉（亞洲）,香格里拉(亞洲),,SecurityBoard.HKEquity,2000,3591116156.0,3591116156.0,0,0,0,1
00070,70.HK,金粵控股,金粵控股,,SecurityBoard.HKEquity,10000,1938822690.0,1938822690.0,0,0,0,1
00071,71.HK,美麗華酒店,美麗華酒店,,SecurityBoard.HKEquity,1000,690959695.0,690959695.0,0,0,0,1
