"編號","名稱","資產淨值","資產淨值+ 殼價","市值","流通市值","理論價","現價","溢價/折讓","內資股(佔比)","最近3年盈利","CCASS頭5+ 非流通 ","券商數目","上市日","招股價","行業"
00623.hk,金橋集團控股,21.4億,24.4億,9.9億,9.6億,5.35,2.23,-58.23%,-,3.1億,85.52%,139,2008/07/08,2.63,影視及傳媒
09857.hk,檸萌影視,27.5億,30.5億,9.9億,9.0億,8.42,2.90,-65.54%,-,6.8千萬,97.63%,83,2022/08/10,27.75,影視及傳媒
00057.hk,震雄集團,32.4億,35.4億,9.8億,3.4億,5.62,1.55,-72.40%,-,2.6億,80.37%,123,1991/10/22,N/A,工業
00621.hk,壇金礦業,25.9億,28.9億,9.8億,9.5億,1.59,0.52,-67.36%,-,-4.1千萬,49.09%,221,1995/12/18,1.0,金屬及採礦
01986.hk,彩客新能源,23.4億,26.4億,9.8億,9.5億,2.72,0.96,-64.75%,-,3.6百萬,77.07%,135,2015/07/03,4.01,石油化工
09960.hk,康聖環球,31.7億,34.7億,9.8億,9.1億,3.36,0.98,-70.86%,-,-7.8千萬,64.79%,194,2021/07/16,9.78,保健及生物科技
02881.hk,武漢有機,8.0億,11.0億,9.8億,8.6億,11.84,10.47,-11.59%,-,2.8億,94.44%,55,2024/06/18,5.5,石油化工
00103.hk,首佳科技,19.5億,22.5億,9.7億,4.9億,4.33,1.79,-58.71%,-,1.5億,82.45%,165,1992/04/09,N/A,N/A
00212.hk,NANYANG HOLD,47.0億,50.0億,9.7億,8.0億,147.14,28.50,-80.63%,-,-1.5億,83.2%,77,1954/09/15,N/A,地產
02327.hk,美瑞健康國際,12.4億,15.4億,9.7億,9.4億,0.38,0.24,-36.67%,-,1.1億,75.39%,144,2003/10/14,0.48,綜合企業
03836.hk,和諧汽車,56.0億,59.0億,9.7億,8.6億,3.87,0.64,-83.61%,-,-12.9億,77.53%,156,2013/06/13,6.08,零售及貿易
01483.hk,網譽科技,1.7億,4.7億,9.7億,8.8億,0.58,1.19,105.69%,-,-1.5億,85.92%,86,2013/12/10,1.0,影視及傳媒
02139.hk,甘肅銀行,3.8百億,3.9百億,9.7億,6.2億,2.57,0.25,-90.26%,-,0.0,86.01%,148,2018/01/18,2.69,銀行
01119.hk,創夢天地,19.5億,22.5億,9.7億,9.6億,1.10,0.44,-60.06%,-,-11.6億,62.4%,196,2018/12/06,6.6,N/A
02495.hk,聲通科技,22.0億,25.0億,9.7億,9.7億,62.98,30.16,-52.11%,-,-1.1億,76.43%,127,2024/07/10,152.1,科技
02603.hk,吉宏股份,33.0億,36.0億,9.7億,9.7億,7.85,12.47,58.77%,492.53%,8.8億,78.8%,88,2025/05/27,7.68,工業
00818.hk,高陽科技,71.1億,74.1億,9.6億,7.4億,2.67,0.34,-87.08%,-,5.0億,68.7%,181,1997/12/22,3.125,金融證券
01201.hk,天臣控股,4.7億,7.7億,9.6億,5.1億,1.75,2.12,21.19%,-,-2.6億,90.24%,142,1998/06/23,1.08,電子
02002.hk,陽光紙業,56.3億,59.3億,9.6億,3.5億,5.57,0.96,-82.77%,-,9.1億,92.49%,142,2007/12/12,6.0,工業
09989.hk,海普瑞,1.4百億,1.4百億,9.6億,9.6億,9.75,4.23,-56.61%,566.67%,2.2億,69.42%,203,2020/07/08,18.4,保健及生物科技
02251.hk,鷹瞳科技－Ｂ,14.1億,17.1億,9.6億,9.6億,16.92,9.00,-46.80%,-,-4.5億,79.98%,104,2021/11/05,75.1,保健及生物科技
06086.hk,方舟健客,1.9億,4.9億,9.6億,5.4億,0.35,0.77,119.74%,-,-11.1億,87.29%,115,2024/07/09,8.18,保健及生物科技
09639.hk,榮利營造,3.7億,6.7億,9.6億,9.6億,0.67,0.99,47.76%,-,1.3億,89.42%,77,2024/10/09,0.73,建築及建築材料
00374.hk,四洲集團,12.1億,15.1億,9.5億,5.0億,3.97,2.50,-36.95%,-,4.5千萬,82.39%,66,1993/08/25,N/A,食品及飲料製造
00451.hk,時代數字,5.7億,8.7億,9.5億,9.3億,0.49,0.55,11.11%,-,-32.2億,49.18%,337,1992/03/25,N/A,公用事業
01696.hk,復銳醫療科技,37.1億,40.1億,9.5億,9.5億,8.56,2.18,-74.54%,-,5.9億,81.29%,166,2017/09/19,8.88,保健及生物科技
01931.hk,華檢醫療,34.3億,37.3億,9.5億,8.1億,2.33,0.60,-74.20%,-,5.8億,86.66%,143,2019/07/12,3.07,保健及生物科技
00255.hk,龍記集團,15.1億,18.1億,9.4億,3.5億,2.85,1.49,-47.72%,-,-1.1億,77.13%,113,1993/03/05,N/A,工業
01161.hk,奧思集團,4.1億,7.1億,9.4億,4.8億,1.04,1.37,31.25%,-,2.6億,79.89%,102,2002/03/11,1.08,零售及貿易
01328.hk,金涌投資,10.4億,13.4億,9.4億,6.9億,5.23,3.65,-30.25%,-,1.0億,88.64%,129,2007/10/16,1.36,金融證券
08321.hk,泰錦控股,1.4億,2.4億,9.4億,3.8億,0.44,1.75,295.55%,-,-4.9千萬,88.44%,95,2016/10/28,0.35,N/A
01627.hk,安保工程控股,19.2億,22.2億,9.4億,2.3億,1.11,0.48,-56.38%,-,4.3億,89.92%,125,2017/02/20,1.1,建築及建築材料
09906.hk,宏力醫療管理,6.5億,9.5億,9.4億,6.9億,1.58,1.56,-1.07%,-,1.3億,99.33%,53,2020/07/13,2.1,保健及生物科技
00873.hk,世茂服務,90.2億,93.2億,9.4億,4.2億,3.78,0.37,-90.20%,-,1.3億,79.92%,178,2020/10/30,16.6,地產
02153.hk,達豐設備,13.7億,16.7億,9.4億,6.9億,1.43,0.81,-43.52%,-,-2.4億,95.47%,81,2021/01/13,1.73,建築及建築材料
00526.hk,利時集團控股,30.4億,33.4億,9.3億,8.3億,0.38,0.10,-72.44%,-,3.9億,70.04%,156,1995/10/11,1.28,工業
00536.hk,貿易通,3.7億,6.7億,9.3億,7.5億,0.85,1.17,37.41%,-,2.7億,65.84%,166,2005/10/28,1.25,科技
02130.hk,嘉泓物流,5.4億,8.4億,9.3億,3.1億,2.81,3.12,11.02%,-,9.6千萬,87.43%,102,2020/10/15,2.66,物流運輸
02126.hk,藥明巨諾－Ｂ,6.5億,9.5億,9.3億,9.1億,2.28,2.06,-9.68%,-,-20.9億,54.13%,227,2020/11/03,23.8,保健及生物科技
09663.hk,國鴻氫能,28.5億,31.5億,9.3億,8.5億,6.17,2.37,-61.66%,-,-14.2億,94.81%,99,2023/12/05,19.66,電子
